district,mandal,month,year,NDVI_mean,rainfall_mm_per_day,temperature_C,batch_id
Bhadradri Kothagudem,Annapureddipalle,12.0,2024,0.3201,0.3770,0.00,batch_0
Bhadradri Kothagudem,Aswapuram,12.0,2024,0.3360,0.4515,0.00,batch_0
Bhadradri Kothagudem,Aswaraopeta,12.0,2024,0.3712,0.3801,0.00,batch_0
Bhadradri Kothagudem,Bhadrachalam,12.0,2024,0.1998,0.4503,0.00,batch_0
Bhadradri Kothagudem,Burgampadu,12.0,2024,0.2916,0.4143,0.00,batch_0
Bhadradri Kothagudem,Chandrugonda,12.0,2024,0.3447,0.3311,0.00,batch_0
Bhadradri Kothagudem,Cherla,12.0,2024,0.3334,0.4784,0.00,batch_0
Bhadradri Kothagudem,Chunchupally,12.0,2024,0.3493,0.3204,0.00,batch_0
Bhadradri Kothagudem,Dammapeta,12.0,2024,0.3792,0.3371,0.00,batch_0
Bhadradri Kothagudem,Dummugudem,12.0,2024,0.2910,0.5851,0.00,batch_0
Bhadradri Kothagudem,Gundala,12.0,2024,0.3292,0.4320,0.00,batch_0
Bhadradri Kothagudem,Julurupad,12.0,2024,0.3653,0.2868,0.00,batch_0
Bhadradri Kothagudem,Karakagudem,12.0,2024,0.3319,0.3883,0.00,batch_0
Bhadradri Kothagudem,Kothagudem,12.0,2024,0.2716,0.2822,0.00,batch_0
Bhadradri Kothagudem,Laxmidevipally,12.0,2024,0.3133,0.4002,0.00,batch_0
Bhadradri Kothagudem,Manuguru,12.0,2024,0.2640,0.5310,0.00,batch_0
Bhadradri Kothagudem,Mulakalapally,12.0,2024,0.3472,0.4225,0.00,batch_0
Bhadradri Kothagudem,Palvancha,12.0,2024,0.3338,0.3792,0.00,batch_0
Bhadradri Kothagudem,Pinapaka,12.0,2024,0.2759,0.3727,0.00,batch_0
Bhadradri Kothagudem,Sujathanagar,12.0,2024,0.3214,0.2854,0.00,batch_0
Bhadradri Kothagudem,Tekulapalle,12.0,2024,0.3294,0.4033,0.00,batch_0
Bhadradri Kothagudem,Yellandu,12.0,2024,0.3211,0.3933,0.00,batch_0
Hanumakonda,Atmakur,10.0,2024,0.4167,1.7776,0.00,batch_0
Hanumakonda,Bheemadevarapalli,10.0,2024,0.4235,1.9013,0.00,batch_0
Hanumakonda,Damera,10.0,2024,0.4325,1.7519,0.00,batch_0
Hanumakonda,Dharmasagar,10.0,2024,0.3952,1.8077,0.00,batch_0
Hanumakonda,Elkathurthi,10.0,2024,0.4283,1.8675,0.00,batch_0
Hanumakonda,Hanumakonda,10.0,2024,0.3027,1.9315,0.00,batch_0
Hanumakonda,Hasanparthy,10.0,2024,0.4099,1.9528,0.00,batch_0
Hanumakonda,Inavolu,10.0,2024,0.4104,1.8360,0.00,batch_0
Hanumakonda,Kamalapur,10.0,2024,0.4238,1.8225,0.00,batch_0
Hanumakonda,Khaazipet,10.0,2024,0.3791,1.8712,0.00,batch_0
Hanumakonda,Parkal,10.0,2024,0.4080,1.6183,0.00,batch_0
Hanumakonda,Shayampet,10.0,2024,0.4300,1.7998,0.00,batch_0
Hanumakonda,Velair,10.0,2024,0.3998,1.8696,0.00,batch_0
Hanumakonda,Nadikuda,10.0,2024,0.4296,1.6024,0.00,batch_0
Hanumakonda,Atmakur,12.0,2024,0.2455,0.2712,0.00,batch_0
Hanumakonda,Bheemadevarapalli,12.0,2024,0.2443,0.2101,0.00,batch_0
Hanumakonda,Damera,12.0,2024,0.2406,0.2699,0.00,batch_0
Hanumakonda,Dharmasagar,12.0,2024,0.2203,0.2208,0.00,batch_0
Hanumakonda,Elkathurthi,12.0,2024,0.1969,0.2711,0.00,batch_0
