latitude,longitude,district,state,beforeImage,afterImage
17.385,78.4867,Hyderabad,Telangana,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/thumbnails/c39f0439c5569af177835f2aacad2f2c-dd4d60414bb70b4f7352efd56d3f15bd:getPixels,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/thumbnails/5d605160bca6c1dd3aa66ec6e3c5d7a1-25695c237329fc0e6f55b68ae4cba68e:getPixels
28.6139,77.209,Delhi,Delhi,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/thumbnails/57dd39f5ab613ce61a19ccf4d9b58c88-92191b4d929e33d82150020305274e58:getPixels,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/thumbnails/adf7baa1cf24b32b02ea4f7582074db4-81c81db4594f9303b0404bb4a5c335f2:getPixels
19.076,72.8777,Mumbai,Maharashtra,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/thumbnails/b1b3f73561392d04baaf56f51069239f-d966168c60acec3e11562028d7c92ab1:getPixels,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/thumbnails/6e9360049bc3f07787e222995f5e4b54-8bff13217f2255acf5050ef035c3d66d:getPixels
13.0827,80.2707,Chennai,Tamil Nadu,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/thumbnails/ff4bf16fc61f0ec949e9ec5ffecf81dd-8e227bc1485691f4888f7cac423f78ea:getPixels,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/thumbnails/25702b04b44c298d9f7a3017d11eabfa-22ded3119eebc0d518f2c1365431f5a8:getPixels
22.5726,88.3639,Kolkata,West Bengal,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/thumbnails/ad47415398b8a6fae0900c5300f7388c-2aafed2f3ee898e29548d594f9141975:getPixels,https://earthengine.googleapis.com/v1/projects/earthengine-legacy/thumbnails/5fcf98cd9524627510a0743f07423394-5671f1a0b6b8f36bbf89e057664dd6c0:getPixels
