district,mandal,month,year,NDVI_mean,rainfall_mm_per_day,temperature_C,batch_id
Rangareddy,Kothur,12.0,2024,0.2396,0.2024,0.00,batch_24
Rangareddy,Madgul,12.0,2024,0.2596,0.0924,0.00,batch_24
Rangareddy,Maheswaram,12.0,2024,0.2262,0.2110,0.00,batch_24
Rangareddy,Manchal,12.0,2024,0.2283,0.2305,0.00,batch_24
Rangareddy,Moinabad,12.0,2024,0.2246,0.2234,0.00,batch_24
Rangareddy,Nandigama,12.0,2024,0.2385,0.2033,0.00,batch_24
Rangareddy,Rajendranagar,12.0,2024,0.1955,0.2109,0.00,batch_24
Rangareddy,Serilingampalle,12.0,2024,0.1770,0.2216,0.00,batch_24
Rangareddy,Shabad,12.0,2024,0.2576,0.2386,0.00,batch_24
Rangareddy,Shamshabad,12.0,2024,0.2526,0.2270,0.00,batch_24
Rangareddy,Shankarpalle,12.0,2024,0.2356,0.2337,0.00,batch_24
Rangareddy,Talakondapally,12.0,2024,0.2402,0.1678,0.00,batch_24
Rangareddy,Yacharam,12.0,2024,0.2189,0.2135,0.00,batch_24
Rangareddy,Saroornagar,12.0,2024,0.1371,0.0560,0.00,batch_24
Sangareddy,Andole,10.0,2024,0.3775,2.2508,0.00,batch_24
Sangareddy,Kohir,10.0,2024,0.3901,2.2197,0.00,batch_24
Sangareddy,Gummadidala,10.0,2024,0.2546,1.7339,0.00,batch_24
Sangareddy,Hathnoora,10.0,2024,0.3657,1.9773,0.00,batch_24
Sangareddy,Jharasangam,10.0,2024,0.4147,2.2234,0.00,batch_24
Sangareddy,Kalher,10.0,2024,0.4037,2.0608,0.00,batch_24
Sangareddy,Kandi,10.0,2024,0.3780,1.9636,0.00,batch_24
Sangareddy,Kondapur,10.0,2024,0.4086,2.1364,0.00,batch_24
Sangareddy,Manoor,10.0,2024,0.3891,2.2767,0.00,batch_24
Sangareddy,Mogudampally,10.0,2024,0.3943,2.2388,0.00,batch_24
Sangareddy,Munipally,10.0,2024,0.3582,2.2399,0.00,batch_24
Sangareddy,Nagalgidda,10.0,2024,0.3790,2.1576,0.00,batch_24
Sangareddy,Narayankhed,10.0,2024,0.4361,2.1832,0.00,batch_24
Sangareddy,Nyalkal,10.0,2024,0.3994,2.3762,0.00,batch_24
Sangareddy,Patancheruvu,10.0,2024,0.3375,1.9382,0.00,batch_24
Sangareddy,Pulkal,10.0,2024,0.3240,2.2010,0.00,batch_24
Sangareddy,Raikode,10.0,2024,0.3498,2.3200,0.00,batch_24
Sangareddy,Ramachandrapuram,10.0,2024,0.3159,1.9880,0.00,batch_24
Sangareddy,Sadasivpet,10.0,2024,0.4112,2.1168,0.00,batch_24
Sangareddy,Sangareddy,10.0,2024,0.3676,2.0526,0.00,batch_24
Sangareddy,Sirgapoor,10.0,2024,0.4113,1.9107,0.00,batch_24
Sangareddy,Vatpally,10.0,2024,0.3305,2.3366,0.00,batch_24
Sangareddy,Zahirabad,10.0,2024,0.3741,2.2950,0.00,batch_24
Sangareddy,Ameenpur,10.0,2024,0.2519,1.8072,0.00,batch_24
Sangareddy,Jinnaram,10.0,2024,0.2927,1.8318,0.00,batch_24
Sangareddy,Chowtakur,10.0,2024,0.3933,2.1343,0.00,batch_24
Sangareddy,Nizampet,10.0,2024,0.3493,2.3518,0.00,batch_24
Sangareddy,Kangti,10.0,2024,0.3819,1.8636,0.00,batch_24
Sangareddy,Andole,12.0,2024,0.2137,0.1472,0.00,batch_24
Sangareddy,Kohir,12.0,2024,0.2994,0.1928,0.00,batch_24
Sangareddy,Gummadidala,12.0,2024,0.2583,0.1990,0.00,batch_24
Sangareddy,Hathnoora,12.0,2024,0.2011,0.2057,0.00,batch_24
Sangareddy,Jharasangam,12.0,2024,0.2843,0.1070,0.00,batch_24
Sangareddy,Kalher,12.0,2024,0.1794,0.0016,0.00,batch_24
Sangareddy,Kandi,12.0,2024,0.2214,0.2271,0.00,batch_24
Sangareddy,Kondapur,12.0,2024,0.2216,0.2181,0.00,batch_24
Sangareddy,Manoor,12.0,2024,0.2506,0.1583,0.00,batch_24
Sangareddy,Mogudampally,12.0,2024,0.2892,0.1157,0.00,batch_24
Sangareddy,Munipally,12.0,2024,0.2496,0.2108,0.00,batch_24
Sangareddy,Nagalgidda,12.0,2024,0.2100,0.0484,0.00,batch_24
Sangareddy,Narayankhed,12.0,2024,0.2381,0.0624,0.00,batch_24
Sangareddy,Nyalkal,12.0,2024,0.2653,0.0250,0.00,batch_24
Sangareddy,Patancheruvu,12.0,2024,0.2064,0.2267,0.00,batch_24
Sangareddy,Pulkal,12.0,2024,0.1881,0.2110,0.00,batch_24
Sangareddy,Raikode,12.0,2024,0.2291,0.1276,0.00,batch_24
Sangareddy,Ramachandrapuram,12.0,2024,0.2130,0.2384,0.00,batch_24
Sangareddy,Sadasivpet,12.0,2024,0.2723,0.2271,0.00,batch_24
Sangareddy,Sangareddy,12.0,2024,0.2207,0.2260,0.00,batch_24
Sangareddy,Sirgapoor,12.0,2024,0.2103,0.0000,0.00,batch_24
Sangareddy,Vatpally,12.0,2024,0.2574,0.1165,0.00,batch_24
Sangareddy,Zahirabad,12.0,2024,0.2744,0.0713,0.00,batch_24
Sangareddy,Ameenpur,12.0,2024,0.1688,0.2161,0.00,batch_24
Sangareddy,Jinnaram,12.0,2024,0.2020,0.2024,0.00,batch_24
Sangareddy,Chowtakur,12.0,2024,0.2439,0.2162,0.00,batch_24
Sangareddy,Nizampet,12.0,2024,0.1715,0.0222,0.00,batch_24
Sangareddy,Kangti,12.0,2024,0.2095,0.0000,0.00,batch_24
Siddipet,Akkannapet,10.0,2024,0.3607,1.6997,0.00,batch_24
Siddipet,Bejjanki,10.0,2024,0.0037,1.7048,0.00,batch_24
Siddipet,Cherial,10.0,2024,0.3405,1.5984,0.00,batch_24
Siddipet,Chinnakodur,10.0,2024,0.0000,1.7632,0.00,batch_24
Siddipet,Dubbak,10.0,2024,0.0000,1.9086,0.00,batch_24
Siddipet,Gajwel,10.0,2024,0.3725,1.9802,0.00,batch_24
Siddipet,Koheda,10.0,2024,0.1135,1.7293,0.00,batch_24
Siddipet,Komuravelli,10.0,2024,0.2883,1.7525,0.00,batch_24
Siddipet,Husnabad,10.0,2024,0.4094,1.8665,0.00,batch_24
Siddipet,Jagdevpur,10.0,2024,0.3294,1.8094,0.00,batch_24
Siddipet,Kondapak,10.0,2024,0.2528,1.7915,0.00,batch_24
Siddipet,Maddur,10.0,2024,0.3400,1.5389,0.00,batch_24
Siddipet,Markook,10.0,2024,0.3977,1.7941,0.00,batch_24
Siddipet,Mirdoddi,10.0,2024,0.2039,2.0369,0.00,batch_24
Siddipet,Mulug,10.0,2024,0.3502,1.7546,0.00,batch_24
Siddipet,Nangnoor,10.0,2024,0.2026,1.6128,0.00,batch_24
Siddipet,Raipole,10.0,2024,0.3789,2.0265,0.00,batch_24
Siddipet,Siddipet_Rural,10.0,2024,0.0065,1.7519,0.00,batch_24
Siddipet,Siddipet_Urban,10.0,2024,0.0518,1.7624,0.00,batch_24
Siddipet,Thoguta,10.0,2024,0.2061,1.9601,0.00,batch_24
Siddipet,Wargal,10.0,2024,0.3979,1.8954,0.00,batch_24
Siddipet,Doultabad,10.0,2024,0.3834,2.1486,0.00,batch_24
Siddipet,Narayanraopet,10.0,2024,0.0000,1.7628,0.00,batch_24
Siddipet,Dhoolumitta,10.0,2024,0.3307,1.5459,0.00,batch_24
Siddipet,Akbarpet-bhoompally,10.0,2024,0.0753,2.1068,0.00,batch_24
Siddipet,Kukunoorpally,10.0,2024,0.2211,1.9082,0.00,batch_24
